 time[s],latitude[deg],longitude[deg],azimuth[deg]
0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
0.10000000E-1,0.95894295E-5,-0.44979080E-6,0.18980410E-1
0.20000000E-1,0.19179008E-4,-0.89639985E-6,0.37944264E-1
0.30000000E-1,0.28768735E-4,-0.13398154E-5,0.56850705E-1
0.40000000E-1,0.38358611E-4,-0.17800192E-5,0.75634717E-1
0.50000000E-1,0.47948637E-4,-0.22169873E-5,0.94209339E-1
0.60000000E-1,0.57538812E-4,-0.26506911E-5,0.11246754
0.70000000E-1,0.67129138E-4,-0.30810982E-5,0.13028482
0.80000000E-1,0.76719612E-4,-0.35081762E-5,0.14752985
0.90000000E-1,0.86310233E-4,-0.39318945E-5,0.16407165
0.10000000,0.95900997E-4,-0.43522254E-5,0.17978227
0.11000000,0.10549190E-3,-0.47691445E-5,0.19453716
0.12000000,0.11508294E-3,-0.51826305E-5,0.20821544
0.13000000,0.12467411E-3,-0.55926656E-5,0.22070015
0.14000000,0.13426541E-3,-0.59992365E-5,0.23188081
0.15000000,0.14385682E-3,-0.64023348E-5,0.24165707
0.16000000,0.15344835E-3,-0.68019590E-5,0.24994174
0.17000000,0.16303999E-3,-0.71981137E-5,0.25666255
0.18000000,0.17263174E-3,-0.75908108E-5,0.26176322
0.19000000,0.18222359E-3,-0.79800689E-5,0.26520371
0.20000000,0.19181556E-3,-0.83659134E-5,0.26695994
0.21000000,0.20140764E-3,-0.87483758E-5,0.26702316
0.22000000,0.21099985E-3,-0.91274932E-5,0.26539889
0.23000000,0.22059219E-3,-0.95033083E-5,0.26210570
0.24000000,0.23018466E-3,-0.98758682E-5,0.25717389
0.25000000,0.23977729E-3,-0.10245224E-4,0.25064401
0.26000000,0.24937009E-3,-0.10611430E-4,0.24256540
0.27000000,0.25896307E-3,-0.10974544E-4,0.23299478
0.28000000,0.26855624E-3,-0.11334625E-4,0.22199485
0.29000000,0.27814962E-3,-0.11691735E-4,0.20963298
0.30000000,0.28774323E-3,-0.12045937E-4,0.19598004
0.31000000,0.29733709E-3,-0.12397293E-4,0.18110928
0.32000000,0.30693120E-3,-0.12745868E-4,0.16509538
0.33000000,0.31652558E-3,-0.13091726E-4,0.14801355
0.34000000,0.32612026E-3,-0.13434930E-4,0.12993879
0.35000000,0.33571523E-3,-0.13775543E-4,0.11094529
0.36000000,0.34531052E-3,-0.14113629E-4,0.91105875E-1
0.37000000,0.35490614E-3,-0.14449248E-4,0.70491544E-1
0.38000000,0.36450209E-3,-0.14782461E-4,0.49171168E-1
0.39000000,0.37409839E-3,-0.15113329E-4,0.27211205E-1
0.40000000,0.38369506E-3,-0.15441908E-4,0.46755030E-2
0.41000000,0.39329209E-3,-0.15768256E-4,359.98163
0.42000000,0.40288950E-3,-0.16092429E-4,359.95812
0.43000000,0.41248730E-3,-0.16414480E-4,359.93421
0.44000000,0.42208550E-3,-0.16734463E-4,359.90996
0.45000000,0.43168409E-3,-0.17052428E-4,359.88540
0.46000000,0.44128309E-3,-0.17368426E-4,359.86060
0.47000000,0.45088251E-3,-0.17682506E-4,359.83558
0.48000000,0.46048234E-3,-0.17994715E-4,359.81041
0.49000000,0.47008260E-3,-0.18305098E-4,359.78510
0.50000000,0.47968329E-3,-0.18613701E-4,359.75971
0.51000000,0.48928441E-3,-0.18920567E-4,359.73426
0.52000000,0.49888597E-3,-0.19225738E-4,359.70880
0.53000000,0.50848797E-3,-0.19529255E-4,359.68334
0.54000000,0.51809041E-3,-0.19831158E-4,359.65792
0.55000000,0.52769330E-3,-0.20131485E-4,359.63257
0.56000000,0.53729663E-3,-0.20430275E-4,359.60731
0.57000000,0.54690042E-3,-0.20727564E-4,359.58216
0.58000000,0.55650465E-3,-0.21023387E-4,359.55715
0.59000000,0.56610935E-3,-0.21317779E-4,359.53230
0.60000000,0.57571450E-3,-0.21610774E-4,359.50763
0.61000000,0.58532010E-3,-0.21902403E-4,359.48315
0.62000000,0.59492617E-3,-0.22192700E-4,359.45889
0.63000000,0.60453269E-3,-0.22481693E-4,359.43486
0.64000000,0.61413967E-3,-0.22769414E-4,359.41108
0.65000000,0.62374711E-3,-0.23055891E-4,359.38756
0.66000000,0.63335502E-3,-0.23341153E-4,359.36431
0.67000000,0.64296338E-3,-0.23625226E-4,359.34135
0.68000000,0.65257221E-3,-0.23908136E-4,359.31868
0.69000000,0.66218150E-3,-0.24189911E-4,359.29633
0.70000000,0.67179125E-3,-0.24470574E-4,359.27430
0.71000000,0.68140146E-3,-0.24750149E-4,359.25259
0.72000000,0.69101213E-3,-0.25028661E-4,359.23123
0.73000000,0.70062326E-3,-0.25306130E-4,359.21021
0.74000000,0.71023486E-3,-0.25582580E-4,359.18955
0.75000000,0.71984691E-3,-0.25858031E-4,359.16925
0.76000000,0.72945942E-3,-0.26132503E-4,359.14931
0.77000000,0.73907239E-3,-0.26406017E-4,359.12975
0.78000000,0.74868582E-3,-0.26678591E-4,359.11057
0.79000000,0.75829971E-3,-0.26950243E-4,359.09178
0.80000000,0.76791406E-3,-0.27220992E-4,359.07337
0.81000000,0.77752886E-3,-0.27490853E-4,359.05536
0.82000000,0.78714412E-3,-0.27759844E-4,359.03774
0.83000000,0.79675983E-3,-0.28027980E-4,359.02052
0.84000000,0.80637600E-3,-0.28295276E-4,359.00371
0.85000000,0.81599263E-3,-0.28561747E-4,358.98730
0.86000000,0.82560970E-3,-0.28827407E-4,358.97129
0.87000000,0.83522724E-3,-0.29092269E-4,358.95570
0.88000000,0.84484522E-3,-0.29356345E-4,358.94051
0.89000000,0.85446366E-3,-0.29619648E-4,358.92573
0.90000000,0.86408254E-3,-0.29882190E-4,358.91137
0.91000000,0.87370188E-3,-0.30143981E-4,358.89741
0.92000000,0.88332168E-3,-0.30405032E-4,358.88387
0.93000000,0.89294192E-3,-0.30665354E-4,358.87073
0.94000000,0.90256261E-3,-0.30924955E-4,358.85801
0.95000000,0.91218375E-3,-0.31183846E-4,358.84569
0.96000000,0.92180535E-3,-0.31442034E-4,358.83378
0.97000000,0.93142739E-3,-0.31699527E-4,358.82228
0.98000000,0.94104988E-3,-0.31956334E-4,358.81118
0.99000000,0.95067282E-3,-0.32212462E-4,358.80049
1.0000000,0.96029622E-3,-0.32467917E-4,358.79019
1.0100000,0.96992006E-3,-0.32722706E-4,358.78029
1.0200000,0.97954435E-3,-0.32976834E-4,358.77079
1.0300000,0.98916909E-3,-0.33230308E-4,358.76169
1.0400000,0.99879429E-3,-0.33483132E-4,358.75297
1.0500000,0.10084199E-2,-0.33735312E-4,358.74464
1.0600000,0.10180460E-2,-0.33986851E-4,358.73670
1.0700000,0.10276726E-2,-0.34237753E-4,358.72914
1.0800000,0.10372996E-2,-0.34488023E-4,358.72195
1.0900000,0.10469270E-2,-0.34737664E-4,358.71514
1.1000000,0.10565549E-2,-0.34986678E-4,358.70870
1.1100000,0.10661833E-2,-0.35235069E-4,358.70263
1.1200000,0.10758121E-2,-0.35482838E-4,358.69692
1.1300000,0.10854414E-2,-0.35729988E-4,358.69157
1.1400000,0.10950711E-2,-0.35976520E-4,358.68658
1.1500000,0.11047013E-2,-0.36222436E-4,358.68193
1.1600000,0.11143319E-2,-0.36467737E-4,358.67763
1.1700000,0.11239630E-2,-0.36712424E-4,358.67368
1.1800000,0.11335946E-2,-0.36956497E-4,358.67006
1.1900000,0.11432266E-2,-0.37199956E-4,358.66678
1.2000000,0.11528591E-2,-0.37442803E-4,358.66382
1.2100000,0.11624921E-2,-0.37685036E-4,358.66119
1.2200000,0.11721255E-2,-0.37926655E-4,358.65888
1.2300000,0.11817594E-2,-0.38167660E-4,358.65689
1.2400000,0.11913937E-2,-0.38408049E-4,358.65520
1.2500000,0.12010286E-2,-0.38647822E-4,358.65382
1.2600000,0.12106639E-2,-0.38886977E-4,358.65274
1.2700000,0.12202997E-2,-0.39125512E-4,358.65196
1.2800000,0.12299359E-2,-0.39363427E-4,358.65146
1.2900000,0.12395726E-2,-0.39600718E-4,358.65126
1.3000000,0.12492098E-2,-0.39837384E-4,358.65133
1.3100000,0.12588475E-2,-0.40073423E-4,358.65168
1.3200000,0.12684857E-2,-0.40308832E-4,358.65230
1.3300000,0.12781243E-2,-0.40543608E-4,358.65319
1.3400000,0.12877635E-2,-0.40777749E-4,358.65433
1.3500000,0.12974031E-2,-0.41011252E-4,358.65574
1.3600000,0.13070432E-2,-0.41244113E-4,358.65739
1.3700000,0.13166839E-2,-0.41476330E-4,358.65929
1.3800000,0.13263250E-2,-0.41707898E-4,358.66143
1.3900000,0.13359666E-2,-0.41938815E-4,358.66381
1.4000000,0.13456087E-2,-0.42169076E-4,358.66642
1.4100000,0.13552513E-2,-0.42398679E-4,358.66925
1.4200000,0.13648944E-2,-0.42627618E-4,358.67231
1.4300000,0.13745380E-2,-0.42855890E-4,358.67558
1.4400000,0.13841822E-2,-0.43083491E-4,358.67906
1.4500000,0.13938268E-2,-0.43310417E-4,358.68275
1.4600000,0.14034720E-2,-0.43536663E-4,358.68664
1.4700000,0.14131177E-2,-0.43762224E-4,358.69072
1.4800000,0.14227639E-2,-0.43987097E-4,358.69500
1.4900000,0.14324106E-2,-0.44211276E-4,358.69946
1.5000000,0.14420578E-2,-0.44434756E-4,358.70411
1.5100000,0.14517056E-2,-0.44657534E-4,358.70893
1.5200000,0.14613539E-2,-0.44879604E-4,358.71393
1.5300000,0.14710027E-2,-0.45100961E-4,358.71909
1.5400000,0.14806521E-2,-0.45321600E-4,358.72442
1.5500000,0.14903020E-2,-0.45541516E-4,358.72990
1.5600000,0.14999524E-2,-0.45760703E-4,358.73554
1.5700000,0.15096034E-2,-0.45979157E-4,358.74133
1.5800000,0.15192550E-2,-0.46196873E-4,358.74726
1.5900000,0.15289071E-2,-0.46413844E-4,358.75334
1.6000000,0.15385597E-2,-0.46630066E-4,358.75955
1.6100000,0.15482129E-2,-0.46845533E-4,358.76589
1.6200000,0.15578667E-2,-0.47060240E-4,358.77236
1.6300000,0.15675210E-2,-0.47274181E-4,358.77895
1.6400000,0.15771759E-2,-0.47487350E-4,358.78566
1.6500000,0.15868313E-2,-0.47699743E-4,358.79249
1.6600000,0.15964873E-2,-0.47911352E-4,358.79943
1.6700000,0.16061439E-2,-0.48122174E-4,358.80647
1.6800000,0.16158011E-2,-0.48332201E-4,358.81362
1.6900000,0.16254589E-2,-0.48541429E-4,358.82087
1.7000000,0.16351172E-2,-0.48749851E-4,358.82821
1.7100000,0.16447761E-2,-0.48957462E-4,358.83565
1.7200000,0.16544356E-2,-0.49164256E-4,358.84317
1.7300000,0.16640957E-2,-0.49370227E-4,358.85077
1.7400000,0.16737564E-2,-0.49575370E-4,358.85846
1.7500000,0.16834177E-2,-0.49779679E-4,358.86622
1.7600000,0.16930796E-2,-0.49983147E-4,358.87406
1.7700000,0.17027421E-2,-0.50185770E-4,358.88197
1.7800000,0.17124052E-2,-0.50387541E-4,358.88994
1.7900000,0.17220689E-2,-0.50588454E-4,358.89798
1.8000000,0.17317333E-2,-0.50788503E-4,358.90608
1.8100000,0.17413982E-2,-0.50987684E-4,358.91423
1.8200000,0.17510638E-2,-0.51185989E-4,358.92244
1.8300000,0.17607300E-2,-0.51383414E-4,358.93070
1.8400000,0.17703968E-2,-0.51579952E-4,358.93900
1.8500000,0.17800642E-2,-0.51775597E-4,358.94736
1.8600000,0.17897323E-2,-0.51970344E-4,358.95575
1.8700000,0.17994011E-2,-0.52164187E-4,358.96418
1.8800000,0.18090704E-2,-0.52357121E-4,358.97265
1.8900000,0.18187404E-2,-0.52549138E-4,358.98116
1.9000000,0.18284111E-2,-0.52740234E-4,358.98970
1.9100000,0.18380824E-2,-0.52930404E-4,358.99826
1.9200000,0.18477543E-2,-0.53119640E-4,359.00685
1.9300000,0.18574269E-2,-0.53307938E-4,359.01547
1.9400000,0.18671002E-2,-0.53495292E-4,359.02411
1.9500000,0.18767741E-2,-0.53681696E-4,359.03276
1.9600000,0.18864487E-2,-0.53867144E-4,359.04144
1.9700000,0.18961240E-2,-0.54051632E-4,359.05013
1.9800000,0.19057999E-2,-0.54235152E-4,359.05883
1.9900000,0.19154766E-2,-0.54417701E-4,359.06755
2.0000000,0.19251539E-2,-0.54599272E-4,359.07627
2.0100000,0.19348318E-2,-0.54779860E-4,359.08501
2.0200000,0.19445105E-2,-0.54959458E-4,359.09374
2.0300000,0.19541898E-2,-0.55138063E-4,359.10249
2.0400000,0.19638699E-2,-0.55315668E-4,359.11123
2.0500000,0.19735506E-2,-0.55492268E-4,359.11998
2.0600000,0.19832321E-2,-0.55667858E-4,359.12872
2.0700000,0.19929142E-2,-0.55842432E-4,359.13746
2.0800000,0.20025971E-2,-0.56015985E-4,359.14620
2.0900000,0.20122806E-2,-0.56188511E-4,359.15493
2.1000000,0.20219649E-2,-0.56360006E-4,359.16366
2.1100000,0.20316499E-2,-0.56530465E-4,359.17238
2.1200000,0.20413356E-2,-0.56699881E-4,359.18109
2.1300000,0.20510220E-2,-0.56868250E-4,359.18979
2.1400000,0.20607091E-2,-0.57035567E-4,359.19848
2.1500000,0.20703970E-2,-0.57201826E-4,359.20716
2.1600000,0.20800856E-2,-0.57367023E-4,359.21582
2.1700000,0.20897750E-2,-0.57531153E-4,359.22447
2.1800000,0.20994650E-2,-0.57694211E-4,359.23310
2.1900000,0.21091559E-2,-0.57856191E-4,359.24172
2.2000000,0.21188474E-2,-0.58017088E-4,359.25033
2.2100000,0.21285398E-2,-0.58176899E-4,359.25891
2.2200000,0.21382328E-2,-0.58335618E-4,359.26748
