 t[s],u[ft/s],v[ft/s],w[ft/s],p[rad/s],q[rad/s],r[rad/s],x[ft],y[ft],z[ft],e0,ex,ey,ez,aileron[deg],elevator[deg],rudder[deg],throttle,aileron_dot[rad/s],elevator_dot[rad/s],rudder_dot[rad/s],throttle_dot,longitude[deg], latitude[deg], azimuth[deg]
0.00000000000000,346.984711708200,0.00000000000000,45.8433183874945,-0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,-1000.00000000000,0.997843898261361,0.00000000000000,0.656319640310354E-1,0.00000000000000,0.00000000000000,-9.08601916544906,0.00000000000000,0.701820023565108E-1,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
0.100000000000000E-1,346.984727302716,-0.768400224577719E-5,45.8432073436718,0.520840917972772E-4,-0.159075346995409E-4,0.243489070907622E-5,3.50000000213695,-0.290922841135609E-7,-1000.00000024905,0.997843899570220,0.655133803551809E-7,0.656319441316008E-1,-0.124615183976364E-8,-0.500000000000000E-1,-9.03601916544906,0.00000000000000,0.701741853918779E-1,-0.174532925199433,0.174532925199433,0.00000000000000,-0.155558538717867E-2,0.959997238182219E-5,-0.797957496696549E-13,0.353270273241129E-6
0.200000000000000E-1,346.984849306202,-0.302161503240144E-4,45.8423322329366,0.414467083468986E-3,-0.126888564193575E-3,0.194025421059515E-4,7.00000003637660,-0.460583658474999E-6,-1000.00000389652,0.997843919111121,0.103987836855027E-5,0.656316470300503E-1,-0.196890451934432E-7,-0.200000000000000,-8.88601916544906,0.00000000000000,0.701510450405618E-1,-0.349065850398866,0.349065850398866,0.00000000000000,-0.306485147598316E-2,0.191999448516963E-4,-0.126331154233680E-11,0.561781508080400E-5
0.300000000000000E-1,346.985217379494,0.301978514580169E-5,45.8396615543427,0.139141441067648E-2,-0.426995559276453E-3,0.652324995885439E-4,10.5000001767899,-0.231426355340638E-5,-1000.00001945949,0.997844003532717,0.524011303035555E-5,0.656303632957386E-1,-0.989172516931565E-7,-0.450000000000000,-8.63601916544906,-0.330461978822240E-5,0.701130393052195E-1,-0.523598775598299,0.523598775598299,-0.109844649654017E-4,-0.452883287611560E-2,0.287999176127845E-4,-0.634767605239612E-11,0.283427632759638E-4
0.400000000000000E-1,346.986003427392,0.254387232833002E-3,45.8338767591427,0.328069858761419E-2,-0.100916732861022E-2,0.154058818037389E-3,14.0000005061543,-0.725675529109123E-5,-1000.00006069667,0.997844230073123,0.164897163358846E-4,0.656269170216747E-1,-0.310308274470432E-6,-0.800000000000000,-8.28601916544906,-0.350778781193450E-4,0.700606159404194E-1,-0.698131700797732,0.698131700797732,-0.956078454443284E-4,-0.594854465488836E-2,0.383998908921239E-4,-0.199041858095701E-10,0.892945726419599E-4
0.500000000000000E-1,346.987407136547,0.976081794621134E-3,45.8233773692592,0.637368124935351E-2,-0.196522852505095E-2,0.299865304779523E-3,17.5000010417291,-0.175652278862227E-4,-1000.00014621524,0.997844705915050,0.400864284070385E-4,0.656196713632421E-1,-0.751782866832846E-6,-1.25000000000000,-7.83601916544906,-0.170808724366229E-3,0.699942126475601E-1,-0.872664625997165,0.872664625997165,-0.364077800327738E-3,-0.732498243846481E-2,0.479998647370381E-4,-0.481787721384719E-10,0.217337702980921E-3
0.600000000000000E-1,346.989651453464,0.250773931137347E-2,45.8062860240819,0.109553787433929E-1,-0.338588785559208E-2,0.516552194360641E-3,21.0000016245709,-0.360838262883265E-4,-1000.00029906013,0.997845567127472,0.827703757234294E-4,0.656065340551329E-1,-0.154630567819063E-5,-1.80000000000000,-7.28601916544906,-0.558882582045749E-3,0.699142572737124E-1,-1.04719755119660,1.01810873033003,-0.958313655098720E-3,-0.865912153088508E-2,0.575998387115439E-4,-0.989724958813018E-10,0.449320077429724E-3
0.700000000000000E-1,346.992962110162,0.527337185229308E-2,45.7806023136525,0.173045162585136E-1,-0.533951463575117E-2,0.818025053042589E-3,24.5000017811353,-0.661728341530950E-4,-1000.00054595614,0.997846975163132,0.152692538112635E-3,0.655849894008575E-1,-0.284001409132707E-5,-2.45000000000000,-6.69435249878239,-0.143480368194301E-2,0.698211680231745E-1,-1.22173047639603,1.04719755119660,-0.203862368529466E-2,-0.995191525639075E-2,0.671998115167432E-4,-0.181502108543074E-9,0.829957646551182E-3
0.800000000000000E-1,346.997529640423,0.977750314948095E-2,45.7445711216688,0.256935756761523E-1,-0.783809546862040E-2,0.121829947149708E-2,28.0000006552163,-0.111651208170504E-3,-1000.00091396910,0.997849098448534,0.259383500066752E-3,0.655523410917583E-1,-0.479983745273939E-5,-3.20000000000000,-6.09435249878239,-0.312842624872593E-2,0.697153536893510E-1,-1.36717458072889,1.04719755119660,-0.377260220586278E-2,-0.112042925560304E-1,0.767997808041426E-4,-0.306242432616182E-9,0.141171749304376E-2
0.900000000000000E-1,347.003532873317,0.166106911511590E-1,45.6965360177710,0.363193951665406E-1,-0.108774813100758E-1,0.172836472737722E-2,31.4999970117513,-0.176694190986035E-3,-1000.00142832850,0.997852098001791,0.413635350371000E-3,0.655058727239523E-1,-0.760887820323707E-5,-3.99166666666667,-5.49435249878239,-0.606537940531087E-2,0.695972139100738E-1,-1.39626340159546,1.04719755119660,-0.632594312793395E-2,-0.124171557023778E-1,0.863997431860901E-4,-0.484645529257580E-9,0.225422612353550E-2
0.100000000000000,347.011144724323,0.264223451540472E-1,45.6348895753789,0.491930822167222E-1,-0.144508008343315E-1,0.235109771287716E-2,34.9999892722895,-0.265420230158335E-3,-1000.00211164378,0.997856118793368,0.626694051525189E-3,0.654429011439640E-1,-0.114482938451207E-4,-4.79166666666667,-4.89435249878239,-0.107637211785836E-1,0.694671394334543E-1,-1.39626340159546,1.04719755119660,-0.985494942001450E-2,-0.135913804661107E-1,0.959996943330605E-4,-0.728007679260873E-9,0.341993486008901E-2
0.110000000000000,347.020533466205,0.398552333523268E-1,45.5580560577965,0.642731270306231E-1,-0.185511134398127E-1,0.308753295605466E-2,38.4999755376800,-0.381601338598610E-3,-1000.00298381007,0.997861283464858,0.909730120605365E-3,0.653607763206934E-1,-0.164842658272414E-4,-5.59166666666667,-4.29435249878239,-0.178223409207212E-1,0.693255123767422E-1,-1.39626340159546,1.04409785285363,-0.144859280913008E-1,-0.147278173428962E-1,0.105599629035887E-3,-0.104667494540402E-8,0.497124738526514E-2
0.120000000000000,347.031860762101,0.575202738365113E-1,45.4645185757215,0.815097512306545E-1,-0.231673827422269E-1,0.393898981505369E-2,41.9999536159884,-0.528533559568082E-3,-1000.00406185975,0.997867684683762,0.127366461797540E-2,0.652568856111175E-1,-0.228614493921065E-4,-6.39166666666667,-3.70664799314996,-0.278921293278644E-1,0.691727064733402E-1,-1.39626340159546,1.00246011153304,-0.202766789688539E-1,-0.158272926956816E-1,0.115199541282334E-3,-0.144968787746416E-8,0.696953763754262E-2
0.130000000000000,347.045274647595,0.799894118070304E-1,45.3529456584152,0.100853622272836,-0.282701968077642E-1,0.490751943593751E-2,45.4999211205066,-0.708990835287620E-3,-1000.00535914391,0.997875372859187,0.172917181162265E-2,0.651287130498351E-1,-0.306994522706825E-4,-7.19166666666667,-3.15283481436061,-0.416366855556921E-1,0.690090873089834E-1,-1.39626340159546,0.927733485348978,-0.272167956053866E-1,-0.168906097800505E-1,0.124799424525922E-3,-0.194465498076764E-8,0.947511456612428E-2
0.140000000000000,347.060906572536,0.107790409591806,45.2222467920965,0.122255867905761,-0.338122333511763E-1,0.599591305418059E-2,48.9998756449389,-0.925185477764273E-3,-1000.00688414781,0.997884340794775,0.228668159231949E-2,0.649739322862812E-1,-0.400890413742161E-4,-7.99166666666667,-2.64905763222469,-0.596965340562573E-1,0.688350125452661E-1,-1.39626340159546,0.829482602979154,-0.352390574033674E-1,-0.179185502468678E-1,0.134399272166443E-3,-0.253764429362595E-8,0.125471978689358E-1
