 t[s],u[ft/s],v[ft/s],w[ft/s],p[rad/s],q[rad/s],r[rad/s],x[ft],y[ft],z[ft],e0,ex,ey,ez
0,326.4243765,0,48.44715109,0,0,0,0,0,-1000,0.997287516,0,7.36E-02,0
1.00E-02,326.4248079,5.02E-09,48.44429682,-4.96E-10,-3.72E-04,-4.72E-09,3.300000032,-1.07E-13,-1000.000011,0.997287584,-1.40E-12,7.36E-02,-7.80E-12
2.00E-02,326.4254073,4.00E-08,48.4403704,-2.01E-09,-7.39E-04,-1.88E-08,6.600000184,-1.88E-12,-1000.000045,0.997287789,-1.13E-11,7.36E-02,-6.21E-11
3.00E-02,326.4261728,1.34E-07,48.43539171,-4.59E-09,-1.10E-03,-4.21E-08,9.90000055,-1.00E-11,-1000.000099,0.997288128,-3.82E-11,7.36E-02,-2.09E-10
4.00E-02,326.4271026,3.17E-07,48.4293805,-8.28E-09,-1.46E-03,-7.44E-08,13.20000123,-3.30E-11,-1000.000173,0.9972886,-9.10E-11,7.36E-02,-4.93E-10
5.00E-02,326.428195,6.16E-07,48.42235645,-1.32E-08,-1.82E-03,-1.16E-07,16.50000235,-8.41E-11,-1000.000264,0.997289203,-1.79E-10,7.36E-02,-9.59E-10
6.00E-02,326.4294482,1.06E-06,48.41433914,-1.93E-08,-2.17E-03,-1.66E-07,19.80000404,-1.81E-10,-1000.000371,0.997289936,-3.10E-10,7.36E-02,-1.65E-09
7.00E-02,326.4308605,1.67E-06,48.40534802,-2.67E-08,-2.51E-03,-2.24E-07,23.10000642,-3.49E-10,-1000.000493,0.997290798,-4.96E-10,7.36E-02,-2.61E-09
8.00E-02,326.4324299,2.48E-06,48.39540248,-3.56E-08,-2.86E-03,-2.91E-07,26.40000967,-6.17E-10,-1000.000628,0.997291785,-7.45E-10,7.35E-02,-3.88E-09
9.00E-02,326.4341548,3.52E-06,48.38452175,-4.59E-08,-3.20E-03,-3.66E-07,29.70001394,-1.02E-09,-1000.000774,0.997292898,-1.07E-09,7.35E-02,-5.50E-09
